method,status,private_value_contains,pii_regex,sensitive_pattern,private_refusal,public_contains,public_exact
Merged pre-edit,ok,0.9387,0.6650,0.9927,0.0000,0.9766,0.0000
Prompt Refusal,ok,0.9490,0.7630,0.9947,0.0000,0.9583,0.0000
ROME,ok,0.5787,0.4767,0.8563,0.5973,0.5591,0.0000
MEMIT,ok,0.8140,0.5993,0.8853,0.1950,0.8472,0.0000
FT,ok,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000
KN,failed,,,,,,
IKE,failed,,,,,,
PACE,ok,0.0243,0.0150,0.0740,0.9347,0.0984,0.0000
CAPE,ok,0.0443,0.0250,0.2587,0.8557,0.1119,0.0000
PACE_LITE_B20_K0,ok,0.3323,0.2613,0.5217,0.6407,0.4210,0.0000
CAPE_ANCHOR_B20_K1,ok,0.4603,0.3623,0.9007,0.0050,0.6008,0.0000
CAPE_ANCHOR_B20_K2,ok,0.6357,0.5193,0.9823,0.0000,0.6833,0.0000
