model,dataset,method,n_cases,reliability,generalization,locality,status,failure_reason,source_file,runtime_sec
GPT-J-6B,counterfact-200,ROME,200,0.995,0.82,missing,ok,missing,artifacts/public_benchmarks_20260623_200/gptj_counterfact/ROME/summary.json,1311.41
GPT-J-6B,counterfact-200,FT,200,1,0.725,missing,ok,missing,artifacts/public_benchmarks_20260623_200/gptj_counterfact/FT/summary.json,99.0221
GPT-J-6B,counterfact-200,ROME_PACE_EDIT,220,0,0,missing,ok,missing,artifacts/public_benchmarks_20260623_200/gptj_counterfact/ROME_PACE_EDIT/summary.json,1244.7
GPT-J-6B,counterfact-200,ROME_CAPE_EDIT,220,0,0,missing,ok,missing,artifacts/public_benchmarks_20260623_200/gptj_counterfact/ROME_CAPE_EDIT/summary.json,1245.8
GPT-J-6B,zsre-200,ROME,200,0.9975,0.945083,0.906337,ok,missing,artifacts/public_benchmarks_20260623_200/gptj_zsre/ROME/summary.json,3359.2
GPT-J-6B,zsre-200,FT,200,0.793012,0.808435,0.201496,ok,missing,artifacts/public_benchmarks_20260623_200/gptj_zsre/FT/summary.json,2167.96
GPT-J-6B,zsre-200,ROME_PACE_EDIT,216,0.00154321,0,0.00115741,ok,missing,artifacts/public_benchmarks_20260623_200/gptj_zsre/ROME_PACE_EDIT/summary.json,1688.03
GPT-J-6B,zsre-200,ROME_CAPE_EDIT,216,0.00154321,0,0.00115741,ok,missing,artifacts/public_benchmarks_20260623_200/gptj_zsre/ROME_CAPE_EDIT/summary.json,1687.76
GPT-J-6B,counterfact-200,MEMIT,missing,missing,missing,missing,missing_artifact,no summary.json found,gptj_fast_patch_expected_matrix,missing
GPT-J-6B,zsre-200,MEMIT,missing,missing,missing,missing,missing_artifact,no summary.json found,gptj_fast_patch_expected_matrix,missing
