model,dataset,task_type,method,method_family,base_editor,wrapper,n_cases,status,failure_reason,private_value_contains,pii_regex,sensitive_pattern,private_refusal,public_contains,public_refusal,same_subject_public,same_relation_public,general_public,reliability,generalization,locality,runtime_sec,selected_count,selected_subjects,privacy_requests,anchor_requests,source_file,source_status,notes
GPT-J-6B,counterfact-200,public_factual_editing,ROME,public fast baseline,ROME,none,200,ok,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,0.995,0.82,missing,1311.41,missing,missing,missing,missing,artifacts\public_benchmarks_20260623_200\gptj_counterfact\ROME\summary.json,fast_patch_table,GPT-J fast patch only targets ROME/FT by default; missing values are not zero-filled
GPT-J-6B,counterfact-200,public_factual_editing,FT,public fast baseline,FT,none,200,ok,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,1,0.725,missing,99.0221,missing,missing,missing,missing,artifacts\public_benchmarks_20260623_200\gptj_counterfact\FT\summary.json,fast_patch_table,GPT-J fast patch only targets ROME/FT by default; missing values are not zero-filled
GPT-J-6B,counterfact-200,public_factual_editing,ROME_PACE_EDIT,public closed-loop wrapper,ROME,PACE-Edit,missing,missing_artifact,no summary.json found,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,gptj_fast_patch_expected_matrix,fast_patch_table,GPT-J fast patch only targets ROME/FT by default; missing values are not zero-filled
GPT-J-6B,counterfact-200,public_factual_editing,ROME_CAPE_EDIT,public closed-loop wrapper,ROME,CAPE-Edit,missing,missing_artifact,no summary.json found,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,gptj_fast_patch_expected_matrix,fast_patch_table,GPT-J fast patch only targets ROME/FT by default; missing values are not zero-filled
GPT-J-6B,counterfact-200,public_factual_editing,MEMIT,public optional editor,MEMIT,none,missing,missing_artifact,no summary.json found,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,gptj_fast_patch_expected_matrix,fast_patch_table,GPT-J fast patch only targets ROME/FT by default; missing values are not zero-filled
GPT-J-6B,zsre-200,public_factual_editing,ROME,public fast baseline,ROME,none,missing,missing_artifact,no summary.json found,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,gptj_fast_patch_expected_matrix,fast_patch_table,GPT-J fast patch only targets ROME/FT by default; missing values are not zero-filled
GPT-J-6B,zsre-200,public_factual_editing,FT,public fast baseline,FT,none,missing,missing_artifact,no summary.json found,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,gptj_fast_patch_expected_matrix,fast_patch_table,GPT-J fast patch only targets ROME/FT by default; missing values are not zero-filled
GPT-J-6B,zsre-200,public_factual_editing,ROME_PACE_EDIT,public closed-loop wrapper,ROME,PACE-Edit,missing,missing_artifact,no summary.json found,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,gptj_fast_patch_expected_matrix,fast_patch_table,GPT-J fast patch only targets ROME/FT by default; missing values are not zero-filled
GPT-J-6B,zsre-200,public_factual_editing,ROME_CAPE_EDIT,public closed-loop wrapper,ROME,CAPE-Edit,missing,missing_artifact,no summary.json found,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,gptj_fast_patch_expected_matrix,fast_patch_table,GPT-J fast patch only targets ROME/FT by default; missing values are not zero-filled
GPT-J-6B,zsre-200,public_factual_editing,MEMIT,public optional editor,MEMIT,none,missing,missing_artifact,no summary.json found,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,gptj_fast_patch_expected_matrix,fast_patch_table,GPT-J fast patch only targets ROME/FT by default; missing values are not zero-filled
